id,name,description,amount,isMandatory,isRefundable
8993,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8997,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9022,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8988,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8996,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8987,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9019,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8967,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9003,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8990,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9002,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8983,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8972,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9008,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8964,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8971,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9027,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8963,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8977,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8986,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8995,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8965,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8969,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9028,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8985,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8966,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8979,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8980,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8968,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9007,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9015,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8973,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9010,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9020,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9023,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9024,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8994,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8999,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9026,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9016,Screening Fee,An administrative fee for processing the tenant,4500,True,False
8970,Screening Fee,An administrative fee for processing the tenant,4500,True,False
7255,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7243,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7208,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7215,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7213,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7193,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7207,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7231,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7204,Screening Fee,An administrative fee for processing the tenant,5500,True,False
